"Site Crawled","https://almapay.com/"
"Start Date","2026-05-22"
"Start Time","14:53:27"
"Last Modified Date","2026-05-22"
"Last Modified Time","14:57:54"
"Elapsed","00:04:22"
"Report Date","2026-05-22"
"Report Time","14:57:54"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"RDFa URLs","0","0.00%","606","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","365","60.23%","606","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","647","100.00%","647","Internal HTML/XML pages"
"URLs in Sitemap","595","91.96%","647","Internal HTML/XML pages"
"URLs not in Sitemap","10","1.55%","647","Internal HTML/XML pages"
"Orphan URLs","81","12.52%","647","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","24","3.71%","647","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","647","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","647","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","647","Internal HTML/XML pages"
""
"PageSpeed"
"All","606","100.00%","606","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","606","Internal HTML URLs with 2xx response"
"LCP Request Discovery","0","0.00%","606","Internal HTML URLs with 2xx response"
"Render Blocking Requests","0","0.00%","606","Internal HTML URLs with 2xx response"
"Network Dependency Tree","0","0.00%","606","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","0","0.00%","606","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","0","0.00%","606","Internal HTML URLs with 2xx response"
"Optimize DOM Size","0","0.00%","606","Internal HTML URLs with 2xx response"
"Improve Image Delivery","0","0.00%","606","Internal HTML URLs with 2xx response"
"Forced Reflow","0","0.00%","606","Internal HTML URLs with 2xx response"
"Legacy JavaScript","0","0.00%","606","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","606","Internal HTML URLs with 2xx response"
"Font Display","0","0.00%","606","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","606","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","606","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","606","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","606","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","606","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","606","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","606","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","606","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","606","100.00%","606",""
"Viewport Not Set","0","0.00%","606",""
"Target Size","0","0.00%","606",""
"Content Not Sized Correctly","0","0.00%","606",""
"Illegible Font Size","0","0.00%","606",""
"Contains Unsupported Plugins","0","0.00%","606",""
"Mobile Alternate Link","0","0.00%","606",""
""
"Accessibility"
"All","606","100.00%","606",""
"Accessibility Score Poor","0","0.00%","606",""
"Accessibility Score Needs Improvement","0","0.00%","606",""
"Accessibility Score Good","0","0.00%","606",""
"WCAG 2.0 A Violation","0","0.00%","606",""
"WCAG 2.0 AA Violation","0","0.00%","606",""
"WCAG 2.0 AAA Violation","0","0.00%","606",""
"WCAG 2.1 AA Violation","0","0.00%","606",""
"WCAG 2.2 AA Violation","0","0.00%","606",""
"Best Practice Violation","0","0.00%","606",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","606",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","606",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","606",""
"Scrollable Region Requires Keyboard Access","0","0.00%","606",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","606",""
"Required ARIA Attributes Must Be Provided","0","0.00%","606",""
"Role=text Should Have No Focusable Descendants","0","0.00%","606",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","606",""
"ARIA Attributes Require Valid Values","0","0.00%","606",""
"ARIA Attributes Require Valid Names","0","0.00%","606",""
"ARIA Commands Require Accessible Name","0","0.00%","606",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","606",""
"ARIA Input Fields Require Accessible Name","0","0.00%","606",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","606",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","606",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","606",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","606",""
"ARIA Roles Require Valid Values","0","0.00%","606",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","606",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","606",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","606",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","606",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","606",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","606",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","606",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","606",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","606",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","606",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","606",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","606",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","606",""
"Page Requires One Main Landmark","0","0.00%","606",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","606",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","606",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","606",""
"Page Requires At Most One Main Landmark","0","0.00%","606",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","606",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","606",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","606",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","606",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","606",""
"Form <input> Elements Require Labels","0","0.00%","606",""
"Form Elements Should Have Visible Label","0","0.00%","606",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","606",""
"Frames Require Title Attribute","0","0.00%","606",""
"Frames Require Unique Title Attribute","0","0.00%","606",""
"Frames Should Be Tested With axe-core","0","0.00%","606",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","606",""
"Page Must Contain <title>","0","0.00%","606",""
"Page Must Contain <h1>","0","0.00%","606",""
"Heading Levels Should Only Increase By One","0","0.00%","606",""
"Headings Should Not Be Empty","0","0.00%","606",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","606",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","606",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","606",""
"HTML Element Requires Lang Attribute","0","0.00%","606",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","606",""
"Lang Attribute Requires Valid Value","0","0.00%","606",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","606",""
"Timed Meta Refresh Must Not Exist","0","0.00%","606",""
"Image Button Requires Alternate Text","0","0.00%","606",""
"Images Require Alternate Text","0","0.00%","606",""
"<object> Elements Require Alternate Text","0","0.00%","606",""
"Active <area> Elements Require Alternate Text","0","0.00%","606",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","606",""
"Elements Marked role=img Require Alternate Text","0","0.00%","606",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","606",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","606",""
"<video> Elements Require <track> For Captions","0","0.00%","606",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","606",""
"Buttons Require Discernible Text","0","0.00%","606",""
"Input Buttons Require Discernible Text","0","0.00%","606",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","606",""
"Links Must Be Distinguishable","0","0.00%","606",""
"Links Require Discernible Text","0","0.00%","606",""
"Links With Same Accessible Name","0","0.00%","606",""
"Select Element Requires Accessible Name","0","0.00%","606",""
"Summary Elements Require Discernible Text","0","0.00%","606",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","606",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","606",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","606",""
"Text Requires Higher Color Contrast to Background","0","0.00%","606",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","606",""
"Interactive Controls Must Not Be Nested","0","0.00%","606",""
"List Items Must Be Contained In List Elements","0","0.00%","606",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","606",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","606",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","606",""
"<th> Element Requires Associated Data Cells","0","0.00%","606",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","606",""
"Table Headers Require Discernible Text","0","0.00%","606",""
"Table With Identical Summary & Caption Text","0","0.00%","606",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","606",""
""
"Custom Search"
"All","606","100.00%","606","Internal HTML pages with 2xx response"
""
"Custom Extraction"
