crawl_date,metric,value,percentage
2026-04-13,<body> Element Preceding <html>,0,0.00%
2026-04-13,<head> Not First In <html> Element,0,0.00%
2026-04-13,Missing <head> Tag,0,0.00%
2026-04-13,Multiple <head> Tags,0,0.00%
2026-04-13,Missing <body> Tag,0,0.00%
2026-04-13,Multiple <body> Tags,0,0.00%
2026-04-13,HTML Document Over 2MB,0,0.00%
2026-04-13,Resource Over 2MB,0,0.00%
2026-04-13,High Carbon Rating,0,0.00%
2026-04-13,All,88,100.00%
2026-04-13,All,86,100.00%
2026-04-13,0,0,0.00%
2026-04-13,1,1,2.27%
2026-04-13,2,0,0.00%
2026-04-13,3,5,11.36%
2026-04-13,4,0,0.00%
2026-04-13,5,37,84.09%
2026-04-13,6,0,0.00%
2026-04-13,7,1,2.27%
2026-04-13,8,0,0.00%
2026-04-13,9,0,0.00%
2026-04-13,10+,0,0.00%
2026-04-13,https://spilou.com/,44,100.00%
2026-04-13,https://spilou.com/blog/,38,86.36%
2026-04-13,https://spilou.com/blog/posts/compte-google-my-business/,24,54.55%
2026-04-13,https://spilou.com/blog/posts/fiche-google-my-business/,17,38.64%
2026-04-13,https://spilou.com/blog/posts/repondre-avis-google/,17,38.64%
2026-04-13,https://spilou.com/blog/posts/ameliorer-referencement-google-my-business/,17,38.64%
2026-04-13,https://spilou.com/blog/posts/optimisation-fiche-google-my-business/,16,36.36%
2026-04-13,https://spilou.com/blog/posts/avis-google/,15,34.09%
2026-04-13,https://spilou.com/blog/posts/augmenter-visibilite-web/,14,31.82%
2026-04-13,https://spilou.com/blog/posts/ajouter-votre-entreprise-sur-google-my-business/,14,31.82%
2026-04-13,https://spilou.com/blog/posts/statistique-recherches-google/,14,31.82%
2026-04-13,https://spilou.com/blog/posts/ajouter-des-photos-google-my-business/,13,29.55%
2026-04-13,https://spilou.com/blog/posts/services-fiche-google-my-business/,13,29.55%
2026-04-13,https://spilou.com/blog/posts/modifier-horaires-ouverture-google-my-business/,13,29.55%
2026-04-13,https://spilou.com/blog/posts/demander-avis-google/,13,29.55%
2026-04-13,https://spilou.com/blog/posts/ajouter-des-videos-google-my-business/,12,27.27%
2026-04-13,https://spilou.com/blog/posts/resoudre-la-suspension-compte-google/,12,27.27%
2026-04-13,https://spilou.com/blog/posts/enlever-compte-google-sans-le-supprimer/,12,27.27%
2026-04-13,https://spilou.com/blog/posts/supprimer-fiche-etablissement/,12,27.27%
2026-04-13,https://spilou.com/blog/posts/deconnecter-un-compte-google/,12,27.27%
2026-04-13,Response Time (Seconds),URLs,% of Total
2026-04-13,1,130,100.00%
